name,quantity,region,service_id,sku,"total_price, USD",notes
E2 Instance Core running in Americas,1460.0,us-central1,6F81-5844-456A,CF4E-A0C7-E3BF,31.84492,
E2 Instance Ram running in Americas,5840.0,us-central1,6F81-5844-456A,F449-33EC-A5EF,17.07342,
Storage PD Capacity,256.0,us-central1,6F81-5844-456A,D973-5D65-BAB2,9.04,
,,,,,,
,,,,Total Price:,57.95834,
,,,,,,
"Prices are in US dollars, effective date is 2024-02-16T21:26:39.043Z",,,,,,
,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,
,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CiQ1MjM1YzQwOC01ZmFjLTQzMDEtYjE5Ny0xMjkzNzZlNWNkOWI=,,,,,,
